"Species","totalCatch","Scientific_name","English_name","Family","Fisheries.Guild"
"SCE",280062,"Pecten maximus","Great Atlantic scallop","Pectinidae",NA
"BOR",265399,"Caproidae","Boarfishes nei","ZEIFORMES",NA
"CRE",236350,"Cancer pagurus","Edible crab","Cancridae",NA
"JAX",222152,"Trachurus spp","Jack and horse mackerels nei","PERCOIDEI",NA
"LQD",213155,"Laminaria digitata","Tangle","PHAEOPHYCEAE",NA
"WHE",196481,"Buccinum undatum","Whelk","Buccinidae",NA
"QSC",146338,"Aequipecten opercularis","Queen scallop","Pectinidae",NA
"MNZ",106003,"Lophius spp","Monkfishes nei","LOPHIIFORMES",NA
"LAH",73765,"Laminaria hyperborea","North European kelp","1",NA
"MUS",51876,"Mytilus edulis","Blue mussel","Mytilidae",NA
"CTL",45933,"Sepiidae, Sepiolidae","Cuttlefish, bobtail squids nei","1",NA
"SWX",43436,"Algae","Seaweeds nei","1",NA
"SCR",40031,"Maja squinado","Spinous spider crab","Majidae",NA
"GKL",35566,"Glycymeris glycymeris","Common European bittersweet","Glycymerididae",NA
"CTC",27808,"Sepia officinalis","Common cuttlefish","Sepiidae",NA
"BIB",26409,"Trisopterus luscus","Pouting(=Bib)","Gadidae",NA
"ARG",24281,"Argentina spp","Argentines","SALMONIFORMES",NA
"SKA",23823,"Raja spp","Raja rays nei","RAJIFORMES",NA
"COE",23098,"Conger conger","European conger","Congridae",NA
"LBE",18866,"Homarus gammarus","European lobster","Nephropidae",NA
"JOD",15601,"Zeus faber","John dory","Zeidae",NA
"BRB",14877,"Spondyliosoma cantharus","Black seabream","Sparidae",NA
"ALB",13453,"Thunnus alalunga","Albacore","Scombridae",NA
"ARY",12859,"Argentina sphyraena","Argentine","Argentinidae",NA
"SQC",11831,"Loligo spp","Common squids nei","CEPHALOPODA",NA
"SQZ",11494,"Loliginidae","Inshore squids nei","CEPHALOPODA",NA
"GRO",11043,"Osteichthyes","Groundfishes nei","1",NA
"LIO",9942,"Necora puber","Velvet swimcrab","Portunidae",NA
"GUX",8933,"Triglidae","Gurnards, searobins nei","SCORPAENIFORMES",NA
"OYX",8695,"Ostrea spp","Flat oysters nei","BIVALVIA",NA
"COC",6374,"Cerastoderma edule","Common edible cockle","Cardiidae",NA
"VEV",6150,"Venus verrucosa","Warty venus","Veneridae",NA
"GAD",5488,"Gadiformes","Gadiformes nei","1",NA
"POA",5069,"Brama brama","Atlantic pomfret","Bramidae",NA
"PEE",5014,"Littorina littorea","Common periwinkle","Littorinidae",NA
"DGX",4978,"Squalidae","Dogfish sharks nei","SQUALIFORMES",NA
"VNR",4858,"Venerupis rhomboides","Banded carpet shell","Veneridae",NA
"OYC",4744,"Crassostrea spp","Cupped oysters nei","BIVALVIA",NA
"RAZ",4613,"Solen spp","Solen razor clams nei","BIVALVIA",NA
"BRF",4525,"Helicolenus dactylopterus","Blackbelly rosefish","Scorpaenidae",NA
"SQI",4399,"Illex illecebrosus","Northern shortfin squid","Ommastrephidae",NA
"ASN",4267,"Ascophyllum nodosum","North Atlantic rockweed","1",NA
"VSC",3847,"Chlamys varia","Variegated scallop","Pectinidae",NA
"CRG",3789,"Carcinus maenas","Green crab","Portunidae",NA
"OCT",3671,"Octopodidae","Octopuses, etc. nei","CEPHALOPODA",NA
"GUU",3670,"Chelidonichthys lucerna","Tub gurnard","Triglidae",NA
"ALC",3288,"Alepocephalus bairdii","Baird's slickhead","Alepocephalidae",NA
"SRX",3146,"Rajiformes","Rays, stingrays, mantas nei","1",NA
"SQU",2838,"Loliginidae, Ommastrephidae","Various squids nei","1",NA
"FOR",2745,"Phycis phycis","Forkbeard","Gadidae",NA
"SOI",2126,"Solenidae","Razor clams, knife clams nei","BIVALVIA",NA
"EQI",2037,"Ensis siliqua","Sword razor shell","Solenidae",NA
"OYF",1986,"Ostrea edulis","European flat oyster","Ostreidae",NA
"HYD",1965,"Hydrolagus spp","Ratfishes nei","CHIMAERIFORMES",NA
"SYX",1862,"Scyliorhinidae","Catsharks, etc. nei","CARCHARHINIFORMES",NA
"SCL",1838,"Scyliorhinus spp","Catsharks, nursehounds nei","CARCHARHINIFORMES",NA
"DGH",1681,"Squalidae, Scyliorhinidae","Dogfishes and hounds nei","1",NA
"PER",1611,"Littorina spp","Periwinkles nei","GASTROPODA",NA
"MAV",1565,"Maurolicus muelleri","Silvery lightfish","1",NA
"CRS",1478,"Portunus spp","Portunus swimcrabs nei","BRACHYURA",NA
"KEF",1423,"Chaceon affinis","Deep-sea red crab","Geryonidae",NA
"RED",1324,"Sebastes spp","Atlantic redfishes nei","SCORPAENIFORMES",NA
"TPA",1231,"Trachipterus arcticus","Dealfish","Trachipteridae",NA
"SQE",1225,"Todarodes sagittatus","European flying squid","Ommastrephidae",NA
"MYV",1186,"Mytilus spp","Mytilus mussels nei","BIVALVIA",NA
"CMO",1110,"Chimaera monstrosa","Rabbit fish","Chimaeridae",NA
"SFS",1108,"Lepidopus caudatus","Silver scabbardfish","Trichiuridae",NA
"SBX",1064,"Sparidae","Porgies, seabreams nei","PERCOIDEI",NA
"MSX",1035,"Mytilidae","Sea mussels nei","BIVALVIA",NA
"MUL",967,"Mugilidae","Mullets nei","MUGILIFORMES",NA
"SBG",877,"Sparus aurata","Gilthead seabream","Sparidae",NA
"DPX",839,"Perciformes","Demersal percomorphs nei","1",NA
"SMD",839,"Mustelus mustelus","Smooth-hound","Triakidae",NA
"OCM",826,"Eledone spp","Horned and musky octopuses","CEPHALOPODA",NA
"SWB",732,"Phaeophyceae","Brown seaweeds","1",NA
"EQE",694,"Ensis ensis","Pod razor shell","Solenidae",NA
"SWA",664,"Diplodus sargus","White seabream","Sparidae",NA
"CLX",650,"Bivalvia","Clams, etc. nei","1",NA
"DGZ",643,"Squalus spp","Dogfishes nei","SQUALIFORMES",NA
"CSH",615,"Crangon crangon","Common shrimp","Crangonidae",NA
